Maneuver Error Summary Generated 07-Feb-2013 19:30:31
SBoxMargin =     0.00 asec, 3-sig init roll uncer =    30.00 asec

 obsid MaxErrYZ Seg start_time            stop_time             ssss    angle    X-axis    Y-axis    Z-axis     initQ1      initQ2      initQ3      initQ4       finalQ1     finalQ2     finalQ3     finalQ4     iru-X    iru-Y    iru-Z    aber-X   aber-Y   aber-Z   del-Y    del-Z    delYZ   iruadjYZ totadjYZ syserr.Y syserr.Z ranerr.Y ranerr.Z
 15285    15.97  0  2013:045:11:56:11.634 2013:045:12:25:20.655 -++-   81.677  0.873732  0.027752  0.485615  -0.15028602 -0.10071989  0.92649496  0.32996471   0.02602898  0.50687061  0.86054956  0.04311779    -0.00    -0.00     0.00    -7.39    -0.36    -4.26     0.00     0.00     0.00     0.00     4.27     0.36     4.26    13.80    11.71
 13748    41.52  0  2013:045:13:36:30.655 2013:045:14:03:53.707 ++++   73.729 -0.228343  0.834599 -0.501303   0.02602898  0.50687061  0.86054956  0.04311779  -0.56839335  0.31705714  0.75798943  0.04307894     0.00    -0.00     0.00    12.66   -13.44    15.01     0.00     0.00     0.00     0.00    20.15    13.44   -15.01    10.33    26.51
 53947     0.30  0  2013:046:00:20:47.243 2013:046:00:24:47.243 ++++    0.000  0.478852 -0.877896  0.000000  -0.56839335  0.31705714  0.75798943  0.04307894  -0.56839335  0.31705714  0.75798943  0.04307894     0.00     0.00     0.00    -0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 53946    38.20  0  2013:046:00:29:17.243 2013:046:00:55:44.447 ----   69.540  0.242679 -0.769647  0.590551  -0.56839335  0.31705714  0.75798943  0.04307894   0.02146776 -0.53786539 -0.84275483  0.00206511    -0.00     0.00     0.00   -11.67    17.95    -7.91     0.00     0.00     0.00     0.00    19.62   -17.95     7.91    20.24    18.84
 53945     0.31  0  2013:046:01:16:49.081 2013:046:01:20:49.081 +-+-    0.071  0.027365 -0.706673 -0.707011   0.02146776 -0.53786539 -0.84275483  0.00206511   0.02133356 -0.53787111 -0.84275585  0.00145621    -0.00     0.00    -0.00     0.01     0.01     0.01     0.00     0.00     0.00     0.00     0.02    -0.01    -0.01     0.30     0.30
 53944     6.50  0  2013:046:03:00:22.486 2013:046:03:14:10.417 --+-   18.316  0.767333 -0.424620  0.480519   0.02133356 -0.53787111 -0.84275585  0.00145621  -0.07685169 -0.63566898 -0.76765440  0.02693480    -0.00    -0.00     0.00    -2.35     1.47    -1.72     0.00     0.00     0.00     0.00     2.26    -1.47     1.72     5.03     3.46
 53943    27.41  0  2013:046:04:42:02.571 2013:046:05:30:17.154 +--+  167.594 -0.887228 -0.000941 -0.461330  -0.07685169 -0.63566898 -0.76765440  0.02693480  -0.25875637 -0.57313901  0.65591043  0.41753841    -0.00     0.00     0.00     5.97    -0.30     3.14     0.00     0.00     0.00     0.00     3.16     0.30    -3.14     3.04    24.27
 53942    27.42  0  2013:046:06:41:30.491 2013:046:07:29:45.074 -++-  167.594  0.887228  0.000941  0.461330  -0.25875637 -0.57313901  0.65591043  0.41753841  -0.07685169 -0.63566898 -0.76765440  0.02693480    -0.00     0.00     0.00    -5.98    -0.29    -3.14     0.00     0.00     0.00     0.00     3.15     0.29     3.14     2.94    24.28
 53941     6.23  0  2013:046:09:02:23.783 2013:046:09:16:11.714 ++-+   18.316 -0.767333  0.424620 -0.480519  -0.07685169 -0.63566898 -0.76765440  0.02693480   0.02133356 -0.53787111 -0.84275585  0.00145621     0.00     0.00    -0.00     2.36    -1.51     1.66     0.00     0.00     0.00     0.00     2.24     1.51    -1.66     4.05     4.57
 15381    29.02  0  2013:046:11:18:47.925 2013:046:12:02:47.742 -+--  148.486  0.837127 -0.009413  0.546928   0.02133356 -0.53787111 -0.84275585  0.00145621  -0.28379120 -0.83628739  0.20506455  0.42194133    -0.00     0.00     0.00    -5.14    -0.97    -3.72     0.00     0.00     0.00     0.00     3.85     0.97     3.72     9.02    25.30
